O,D,Diff
79,211,-193
79,212,-175
79,213,-171
79,214,-152
79,215,-344
79,321,-104
8,155,-50
8,236,-125
8,77,-109
9,236,-129
9,77,-106
91,112,-105
91,179,-114
91,299,-103
91,408,-117
91,421,-143
92,112,-127
92,113,-109
92,179,-125
92,299,-106
92,301,-101
92,367,-107
92,408,-121
92,421,-143
933,953,-122
934,953,-111
938,985,-203
939,953,-207
941,953,-905
942,953,-313
947,953,-154
949,953,-612
95,215,-114
95,424,-145
95,430,-136
95,438,-129
95,441,-125
950,953,-270
951,953,-269
952,953,-167
953,954,-393
953,955,-433
953,956,-564
953,957,-221
953,958,-153
953,960,-184
953,977,-104
